Start to init hits and costs
Finished to init hits and costs
Ref 1 RI 1186656 CNT 37
Ref 1 RI 1190748 CNT 37
Ref 1 RI 1194840 CNT 37
Ref 1 RI 1198932 CNT 37
Ref 1 RI 1203024 CNT 37
Ref 1 RI 1207116 CNT 37
Ref 1 RI 1211208 CNT 37
Ref 1 RI 1215300 CNT 37
Ref 1 RI 1219392 CNT 38
Ref 1 RI 1223484 CNT 38
Ref 1 RI 1227576 CNT 38
Ref 1 RI 1231668 CNT 38
Ref 1 RI 1235760 CNT 38
Ref 1 RI 1239852 CNT 38
Ref 1 RI 1243944 CNT 38
Ref 1 RI 1248036 CNT 38
Ref 1 RI 1252128 CNT 39
Ref 1 RI 1256220 CNT 39
Ref 1 RI 1260312 CNT 39
Ref 1 RI 1264404 CNT 39
Ref 1 RI 1268496 CNT 39
Ref 1 RI 1272588 CNT 39
Ref 1 RI 1276680 CNT 39
Ref 1 RI 1280772 CNT 39
Ref 1 RI 1284864 CNT 40
Ref 1 RI 1288956 CNT 40
Ref 1 RI 1293048 CNT 40
Ref 1 RI 1297140 CNT 40
Ref 1 RI 1301232 CNT 40
Ref 1 RI 1305324 CNT 40
Ref 1 RI 1309416 CNT 40
Ref 1 RI 1313508 CNT 40
Ref 1 RI 1317600 CNT 41
Ref 1 RI 1321692 CNT 41
Ref 1 RI 1325784 CNT 41
Ref 1 RI 1329876 CNT 41
Ref 1 RI 1333968 CNT 41
Ref 1 RI 1338060 CNT 41
Ref 1 RI 1342152 CNT 41
Ref 1 RI 1346244 CNT 41
Ref 1 RI 1350336 CNT 42
Ref 1 RI 1354428 CNT 42
Ref 1 RI 1358520 CNT 42
Ref 1 RI 1362612 CNT 42
Ref 1 RI 1366704 CNT 42
Ref 1 RI 1370796 CNT 42
Ref 1 RI 1374888 CNT 42
Ref 1 RI 1378980 CNT 42
Ref 1 RI 1383072 CNT 43
Ref 1 RI 1387164 CNT 43
Ref 1 RI 1391256 CNT 43
Ref 1 RI 1395348 CNT 43
Ref 1 RI 1399440 CNT 43
Ref 1 RI 1403532 CNT 43
Ref 1 RI 1407624 CNT 43
Ref 1 RI 1411716 CNT 43
Ref 1 RI 1415808 CNT 44
Ref 1 RI 1419900 CNT 44
Ref 1 RI 1423992 CNT 44
Ref 1 RI 1428084 CNT 44
Ref 1 RI 1432176 CNT 44
Ref 1 RI 1436268 CNT 44
Ref 1 RI 1440360 CNT 44
Ref 1 RI 1444452 CNT 44
Ref 1 RI 1448544 CNT 45
Ref 1 RI 1452636 CNT 45
Ref 1 RI 1456728 CNT 45
Ref 1 RI 1460820 CNT 45
Ref 1 RI 1464912 CNT 45
Ref 1 RI 1469004 CNT 45
Ref 1 RI 1473096 CNT 45
Ref 1 RI 1477188 CNT 45
Ref 1 RI 1481280 CNT 46
Ref 1 RI 1485372 CNT 46
Ref 1 RI 1489464 CNT 46
Ref 1 RI 1493556 CNT 46
Ref 1 RI 1497648 CNT 46
Ref 1 RI 1501740 CNT 46
Ref 1 RI 1505832 CNT 46
Ref 1 RI 1509924 CNT 46
Ref 1 RI 1514016 CNT 47
Ref 1 RI 1518108 CNT 47
Ref 1 RI 1522200 CNT 47
Ref 1 RI 1526292 CNT 47
Ref 1 RI 1530384 CNT 47
Ref 1 RI 1534476 CNT 47
Ref 1 RI 1538568 CNT 47
Ref 1 RI 1542660 CNT 47
Ref 1 RI 1546752 CNT 48
Ref 1 RI 1550844 CNT 48
Ref 1 RI 1554936 CNT 48
Ref 1 RI 1559028 CNT 48
Ref 1 RI 1563120 CNT 48
Ref 1 RI 1567212 CNT 48
Ref 1 RI 1571304 CNT 48
Ref 1 RI 1575396 CNT 48
Ref 1 RI 1579488 CNT 49
Ref 1 RI 1583580 CNT 49
Ref 1 RI 1587672 CNT 49
Ref 1 RI 1591764 CNT 49
Ref 1 RI 1595856 CNT 49
Ref 1 RI 1599948 CNT 49
Ref 1 RI 1604040 CNT 49
Ref 1 RI 1608132 CNT 49
Ref 1 RI 1612224 CNT 50
Ref 1 RI 1616316 CNT 50
Ref 1 RI 1620408 CNT 50
Ref 1 RI 1624500 CNT 50
Ref 1 RI 1628592 CNT 50
Ref 1 RI 1632684 CNT 50
Ref 1 RI 1636776 CNT 50
Ref 1 RI 1640868 CNT 50
Ref 1 RI 1644960 CNT 51
Ref 1 RI 1649052 CNT 51
Ref 1 RI 1653144 CNT 51
Ref 1 RI 1657236 CNT 51
Ref 1 RI 1661328 CNT 51
Ref 1 RI 1665420 CNT 51
Ref 1 RI 1669512 CNT 51
Ref 1 RI 1673604 CNT 51
Ref 1 RI 1677696 CNT 52
Ref 1 RI 1681788 CNT 52
Ref 1 RI 1685880 CNT 52
Ref 1 RI 1689972 CNT 52
Ref 1 RI 1694064 CNT 52
Ref 1 RI 1698156 CNT 52
Ref 1 RI 1702248 CNT 52
Ref 1 RI 1706340 CNT 52
Ref 1 RI 1710432 CNT 53
Ref 1 RI 1714524 CNT 53
Ref 1 RI 1718616 CNT 53
Ref 1 RI 1722708 CNT 53
Ref 1 RI 1726800 CNT 53
Ref 1 RI 1730892 CNT 53
Ref 1 RI 1734984 CNT 53
Ref 1 RI 1739076 CNT 53
Ref 1 RI 1743168 CNT 54
Ref 1 RI 1747260 CNT 54
Ref 1 RI 1751352 CNT 54
Ref 1 RI 1755444 CNT 54
Ref 1 RI 1759536 CNT 54
Ref 1 RI 1763628 CNT 54
Ref 1 RI 1767720 CNT 54
Ref 1 RI 1771812 CNT 54
Ref 1 RI 1775904 CNT 55
Ref 1 RI 1779996 CNT 55
Ref 1 RI 1784088 CNT 55
Ref 1 RI 1788180 CNT 55
Ref 1 RI 1792272 CNT 55
Ref 1 RI 1796364 CNT 55
Ref 1 RI 1800456 CNT 55
Ref 1 RI 1804548 CNT 55
Ref 1 RI 1808640 CNT 56
Ref 1 RI 1812732 CNT 56
Ref 1 RI 1816824 CNT 56
Ref 1 RI 1820916 CNT 56
Ref 1 RI 1825008 CNT 56
Ref 1 RI 1829100 CNT 56
Ref 1 RI 1833192 CNT 56
Ref 1 RI 1837284 CNT 56
Ref 1 RI 1841376 CNT 57
Ref 1 RI 1845468 CNT 57
Ref 1 RI 1849560 CNT 57
Ref 1 RI 1853652 CNT 57
Ref 1 RI 1857744 CNT 57
Ref 1 RI 1861836 CNT 57
