processing 128 buffers, bufferindex=4194304
hash allocated 0,  hash table size 117480; scaletree size 42705.
processing 256 buffers, bufferindex=4194304
hash allocated 0,  hash table size 172954; scaletree size 26524.
processing 384 buffers, bufferindex=4194304
hash allocated 0,  hash table size 217999; scaletree size 51147.
processing 512 buffers, bufferindex=4194304
hash allocated 0,  hash table size 257663; scaletree size 39766.
processing 640 buffers, bufferindex=4194304
hash allocated 0,  hash table size 293940; scaletree size 27710.
processing 768 buffers, bufferindex=4194304
hash allocated 0,  hash table size 327724; scaletree size 9517.
Starting to print results.
/* Total number of data blocks is 328192 */
/* Total number of accesses is 3225420800 */
/* Bin 0 Distance 0 */	Reuses: 539427328
/* Bin 1 Distance 1 */	Reuses: 2097024
/* Bin 119 Distance 28416 to 28671 */	Reuses: 28488	SLQ: 0
/* Bin 120 Distance 28672 to 28927 */	Reuses: 28308	SLQ: 0
/* Bin 121 Distance 28928 to 29183 */	Reuses: 28998	SLQ: 0
/* Bin 122 Distance 29184 to 29439 */	Reuses: 29038	SLQ: 0
/* Bin 123 Distance 29440 to 29695 */	Reuses: 29289	SLQ: 0
/* Bin 124 Distance 29696 to 29951 */	Reuses: 30581	SLQ: 0
/* Bin 125 Distance 29952 to 30207 */	Reuses: 28990	SLQ: 0
/* Bin 126 Distance 30208 to 30463 */	Reuses: 31110	SLQ: 0
/* Bin 127 Distance 30464 to 30719 */	Reuses: 29486	SLQ: 0
/* Bin 128 Distance 30720 to 30975 */	Reuses: 31399	SLQ: 0
/* Bin 129 Distance 30976 to 31231 */	Reuses: 29976	SLQ: 0
/* Bin 130 Distance 31232 to 31487 */	Reuses: 31196	SLQ: 0
/* Bin 131 Distance 31488 to 31743 */	Reuses: 31447	SLQ: 0
/* Bin 132 Distance 31744 to 31999 */	Reuses: 32692	SLQ: 0
/* Bin 133 Distance 32000 to 32255 */	Reuses: 30969	SLQ: 0
/* Bin 134 Distance 32256 to 32511 */	Reuses: 32219	SLQ: 0
/* Bin 135 Distance 32512 to 32767 */	Reuses: 32469	SLQ: 0
/* Bin 136 Distance 32768 to 33023 */	Reuses: 32474	SLQ: 0
/* Bin 137 Distance 33024 to 33279 */	Reuses: 32980	SLQ: 0
/* Bin 138 Distance 33280 to 33535 */	Reuses: 33237	SLQ: 0
/* Bin 139 Distance 33536 to 33791 */	Reuses: 33495	SLQ: 0
/* Bin 140 Distance 33792 to 34047 */	Reuses: 33749	SLQ: 0
/* Bin 141 Distance 34048 to 34303 */	Reuses: 34007	SLQ: 0
/* Bin 142 Distance 34304 to 34559 */	Reuses: 34261	SLQ: 0
/* Bin 143 Distance 34560 to 34815 */	Reuses: 34519	SLQ: 0
/* Bin 144 Distance 34816 to 35071 */	Reuses: 34503	SLQ: 0
/* Bin 145 Distance 35072 to 35327 */	Reuses: 35027	SLQ: 0
/* Bin 146 Distance 35328 to 35583 */	Reuses: 35283	SLQ: 0
